id,titulo,tipo,finalidade,bairro,endereco,preco_venda,preco_locacao,area_total_m2,quartos,suites,banheiros,vagas,descricao,imagens_urls,status,data_cadastro,ultima_atualizacao,proprietario_id
1,Kitnet Mobiliada - Santa Maria,Apartamento,Locacao,Santa Maria,"Rua Campo do Brito, 145, Aracaju - SE",0.0,1100.0,31.0,1,0,1,0,"Kitnet moderna e completamente mobiliada, ideal para solteiros ou estudantes. Próximo a comércios e transportes.",https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800,Disponivel,,,
2,Studio Moderno - Farolândia,Apartamento,Locacao,Farolândia,"Av. Murilo Dantas, 67 - Condomínio Clóvis Borges, Aracaju - SE",0.0,950.0,40.0,1,0,1,0,"Studio compacto em frente à UNIT, perfeito para estudantes. Isento de água e condomínio.",https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800,Disponivel,,,
3,Apartamento 2 Quartos - Coroa do Meio,Apartamento,Locacao,Coroa do Meio,"Rua Antônio Andrade, 234, Aracaju - SE",0.0,2000.0,57.0,2,0,1,1,"Apartamento bem localizado com 2 quartos, sala ampla, cozinha e 1 vaga. Próximo à orla.",https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800,Disponivel,,,
4,Apartamento 2 Quartos - Neo Residence Jardins,Apartamento,Locacao,Jardins,"Av. Ministro Geraldo Barreto Sobral - Neo Residence, Aracaju - SE",0.0,2800.0,68.0,2,1,2,1,"Apartamento semi-mobiliado em frente ao Shopping Jardins. 2 quartos sendo 1 suíte, varanda e lavabo.",https://images.unsplash.com/photo-1560185007-cde436f6a4d0?w=800,Disponivel,,,
5,Apartamento 2 Quartos - Atalaia,Apartamento,Locacao,Atalaia,"Rua Napoleão Dórea, 89, Aracaju - SE",0.0,3600.0,67.0,2,0,2,1,"Excelente localização na Atalaia, próximo à orla. 2 quartos, varanda e 1 vaga.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800,Disponivel,,,
6,Apartamento 3 Quartos - Grageru,Apartamento,Locacao,Grageru,"Rua Marieta Leite, 250 - Cond. Garden Ville Bloco B Apt 404, Aracaju - SE",0.0,3000.0,80.0,3,1,2,1,"Apartamento mobiliado no Condomínio Garden Ville. 3 quartos sendo 1 suíte, área de lazer completa.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=800,Disponivel,,,
7,Apartamento 3 Quartos - Farolândia,Apartamento,Locacao,Farolândia,"Rua João Batista Ribeiro, 156, Aracaju - SE",0.0,1800.0,77.0,3,1,2,1,"Apartamento espaçoso no bairro Farolândia, próximo ao aeroporto. 3 quartos sendo 1 suíte.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800,Disponivel,,,
8,Apartamento 3 Quartos - Atalaia,Apartamento,Locacao,Atalaia,"Av. Santos Dumont, 567 - Ed. Dom Felipe, Aracaju - SE",0.0,2000.0,85.0,3,1,2,1,"No coração da Atalaia, Edifício Dom Felipe. 3 quartos sendo 1 suíte, varanda aconchegante.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800,Disponivel,,,
9,Apartamento 3 Quartos - Luzia,Apartamento,Locacao,Luzia,"Alameda das Árvores, 89 - Cond. Porto Bello, Aracaju - SE",0.0,2500.0,82.0,3,1,2,1,"Condomínio Porto Bello, excelente localização. 3 quartos sendo 1 suíte, área de lazer completa.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800,Disponivel,,,
10,Apartamento 3 Quartos - Aruana Frente Mar,Apartamento,Locacao,Aruana,"Rodovia José Sarney - Cond. Vista Aruanã, Aracaju - SE",0.0,3800.0,95.0,3,1,2,1,"FRENTE AO MAR! Condomínio Vista Aruanã, mobiliado. 3 quartos sendo 1 suíte, varanda gourmet.",https://images.unsplash.com/photo-1512915922686-57c11dde9b6b?w=800,Disponivel,,,
